topic_id,rank,doc
11,3,"This was my first experience with a MOOC and perhaps will be my last. I suspect courses like this are a large part of the reason that universities are losing both credibility and relevance in the eyes of the public and employers. The complete lack of objectivity presented in a so-called academic course was appalling. By week four the narrative had become so one sided and superficial that it became difficult to maintain any belief in the content of the following lessons. The lectures were so steeped in SJW tropes and what passes for left-leaning politics that the quiz questions could typically be answered based on the simple premise of what make Aboriginal people look the best and the Western worldview the worst. The quiz questions themselves were some of the most poorly conceived and written that I've seen across almost a decade of post-secondary education and the presenters were completely devoid of charisma and style making for dull viewing of topics that were presented in a manner that could almost be considered dishonest.The forums appeared to be the most valuable component of the course however those quickly degraded into what looked like chorus of consent, likely because the overall narrative of the course provided little room for divergent views. My own forum comments were not responded to by the course professors despite asking for clarification and other posters were clearly here to have their own views confirmed, not challenged, and made that evident through their own posts and unwillingness to consider challenging ideas.Overall I felt the course lacked any real academic integrity. Sitting through the lectures felt more like an indoctrination attempt that education. The content was so shallow that the course was more akin to propaganda than coursework. The only factor that would allow me to give even one star was the somewhat improved quality of the guest presenters, some who gave a more even handed approach to the material. This was perhaps the least critical course I have ever taken part in. Even critical theory and methodology needs to be critiqued to have any intellectual value and that did not occur here. Fortunately my employer has covered the small cost of the certification. As someone who works directly with Aboriginal people, and has for a decade, and educates others on Aboriginal topics, worldview, and culture, I am disappointed to say that this course actually lowered my interest in Aboriginal issues and being a so-called ally. This course seemed determined to undermine Canadian values and instil a sense of unwarranted guilt in the participants, likely justified as ""unsettling"" the settler. The process was so heavy handed and obvious however that any possible positive outcome from the message was distorted. I could not in good conscience recommend this course to anyone, and by extension, could not recommend Coursera itself."
12,1,"The course was quite interesting and the assignments given were also hard to solve, so I enjoyed solving them but submitting those assignments was a bit annoying."
12,2,I like this course very much. Assignments are Challenging
12,3,"The quality of the assignments is really good but the instructions for assignments is really poor.I had to do read through the discussions to solve almost each and every problem. The assignments are really time consuming and challenging.Also, I had to refer to stackoverflow for countless number of times to derive the logic.The instructor has only touched upon the material but additional videos should be included by the TAs for the assignments.Thanks,Sourav"
13,1,"Although I am now a grandmother, I really enjoyed the course and was able to confirm my home's ""good eating habits"" and detect some bad ones, like sometimes eating with the televison on. I learned more about the environment and effects of eating processed foods or meats. I revel in seeing today's encouragement of having children particpate in healthy food : shopping, preparation and cooking.Thank You !!"
13,2,"The course is nicely presented with clear speakers. It gives a good and basic overview of what includes healthy foods and the problem with processed foods. The use of visual aids in the form of pictures, graphs and short video clips definitely works well with this kind of topic. As an introduction or reminder of good eating habits, this course does its job just fine. However, I did expect more depth. The source material was very short and simple, and the few academic parts (such as the graphics charts and chemical bonds making up some of the nutrients) were quickly glossed over. This also led to many quiz-questions being almost trivial because the answer was pretty much impossible to get wrong. For example, there are many questions of the following kind: ""Q: What is true about vegetables? A: 1.They contain a variety of healthy nutrients. 2. It's better to eat only meat. 3. Processed foods are far healthier. 4. They contain extreme amounts of calories. 5. Supplements are much more effective sources of vitamins."" These kinds of questions do not add any value to the assignment in my opinion. I felt that a little more depth at least would be good (without having to go overboard), and maybe some extra scientific articles (the extra suggested material are all full books, which is a lot to plow through).However, since I understand the course is not meant to be an 8-week academic investment but an introduction to get people interested in topics concerning food and food habits, this course does a fine job of that, and I like the enthusiasm of the speakers! And they do often provide the simple material with statistics, which is good."
13,3,"This class is an entry level course about nutrition, however, I was disappointed that it focused so much on moderation. I don't feel the moderation message works for people with food addiction and while I appreciate the message of avoiding processed foods, eating meals prepared with salt, sugar and oil is highly addictive. The ""healthy"" recipes provided featured these addictive components, with one being Nutella crepes as a breakfast for kids. The information on reading labels and buying food without labels was solid. Also, the message to make half of your smaller plate filled with vegetables was great! Why not provide recipes that support that message? Almost all the recipes were heavy on dairy, eggs, and oil with only 1 recipe having a green veggie: peas (but again topped with dairy and oil). It's well known that a diet low in fat with little to no animal protein is the diet that reduces risks of cancer, heart disease, strokes and diabetes."
14,1,"Really, one of excellent course on Deep Learning and Neural Networks."
14,2,it's a great introduction to neural networks and deep neural networksthank you
14,3,Very well-done hands-on overview of neural networks and deep learning
15,1,"The best Introductory Course on ML ever. No Pre-requisites allows anyone with the interest to learn ML learn it in the best possible manner. The course not only gives the Theory but also develops Intuition behind every algorithm which helps to retain the essence of the entire material. Not only the Theory but also the Practical Advices that the prof gives helps you to implement a ML Project from Scratch and Diagnose any possible error that may creep in, some of which aren't even used by many Industry Professionals. The prof is very humble and teaches you more like a friend, giving examples on how simple things may go wrong, also accepting that some of the concepts are not so easy to digest, so don't worry. The course is superbly organised which helps learners learn everything that the instructor wants to teach. The Quizzes, in-Lecture questions, Programming Exercises enable you to step through a path of- learning the theory, building the intuition, getting practical advices, implementing the code and inspiring you to work on your own projects. The Discussion Forum is always very active, you could clear any and every doubt of yours. Thanks and Congrats Prof. Andrew Ng on making the best MOOC ever!!"
15,2,"A really amazing course by Prof. Andrew Ng. He covered all the majorly used Supervised and Unsupervised Learning Algorithms. Now these things are covered by many other courses too, so what's so good about this course? The answer is Prof. Ng's lucid ad easy to follow explanations so much so that, you don't really need to be a wizard or even have a knowledge of College level Linear Algebra or Vector Calculus. Also what additional information we gain from this course is not just the Theory behind ML algorithms BUT also the practical implications! These things are crucial since most of us aspire to be ML Engineers in the applied space. He teaches us ways to debug our algorithms, practices which are industry relevant also how to improve performance of our algorithm, what to devote more time and energy resources to, etc. Just be committed to this course, you'll start loving ML and getting a hang of it in no time! Well it would have been ""another"" cherry on the cake if Prof. Ng had included other algorithms such as KNN, Naive Bayes, Decision Trees, Random Forests and a much deeper implementation of SVMs, but overall, I'll rate the course a 5/5!"
15,3,"Unlike what most people are saying, I feel this course shouldn't be taken if you're just beginning into ML. I feel you should take it when you've spend some time working with ML problems but are still an ML noob yet.The course explains the basic concepts of some popular ML algorithms without going too deep into it's intricacies; for which you might need expertise in mathematics to understand. And it gives a lot of awesome tips and tricks and guidance on ML.However, you don't actually learn to train models and solve real life ML problems. If you want to learn to train models in Python using libraries such as pandas and scikit-learn and matplotlib, and fine-tune them, then this course is not for you.But if you have worked on a few ML problems and have decent experience of training and fine-tuning models . But you've always used these models like magical black boxes but now want to dig deeper into the concepts these models are based on, then I can recommend this course to you.The programming exercises are good and take care that it doesn't get all theoretical. If you get stuck somewhere, you should definitely check out the related FAQ in the discussion forums and the Resources section. If you follow the programming assignment PDF and the FAQ and Resources, you should be fine. (Note this down. You're gonna need it for ex4 and ex8. Trust me.)"
16,1,A good course for beginners.
16,2,A good course for beginners.
16,3,It is very good course for beginners!
17,1,Amazing experience with instructions and hands on labs .Thank You.
17,2,"I want to learn. Locking me out of the course labs after the course is over is stupid. Grade or don't grade the lab, I don't care, but let me review the lab to learn. Additionally, preventing me from providing feedback to coursera directly leaves me with the option of providing the information here."
17,3,There were some issues here and there in the labs but other than that it was great.
18,1,"I highly recommend this course, It helped me to improve my American English Pronunciation in a very short time."
18,2,"Great course! I've always wanted to shift my career into teaching English language, but I've always been so intimidated (one reason is me being a non-native English speaker). I always felt that I wasn't cut out for the job. But getting through this course gave me the confidence and a push to go after what I really want. I must say, that it successfully enshrined the foundational principles that a teacher needs for teaching language. Even if this is an online course, even if I'm just watching the lessons from a small screen, Dr. Dixon's words really helped me lot in changing my perspective towards teaching profession. I just really hope I get to finish the whole course, and I look forward to where this might take me. Thank you so much!"
18,3,"Tricky American English Pronunciation course is worth both its theoretical and practical sides. Shadowing a conversation method is a great way to improve English Pronunciation, speaking skills, linking, reduction, intonation etc. Thanks a lot to Tricky American English Pronunciation teachers and team!Tricky American English Pronunciation course is worth both its theoretical and practical sides. Shadowing a conversation method is a great way to improve English Pronunciation, speaking skills, linking, reduction, intonation etc. Thanks a lot to Tricky American English Pronunciation teachers and Coursera team!"
19,1,"While I found the subject matter to be very important and very interesting, the construction of the course leaves some things to be desired. I took meticulous notes, studied before tests, and got great grades on the peer-graded assignments, but I was not prepared for left-field questions or assertions of subject matter that had not been discussed in lectures. For example, a capstone assignment with a whole new concept (presented as a hint) and no resources to educate on what it could mean. An inordinate amount of time was spent attempting, failing, and re-attempting to get Android Studio to work with the provided project files. Needed more resources than were provided, and there is zero feedback from the professor(s) in the forums, and students roll in and out of sessions not caring what the quality of work looks like."
19,2,"The individual lectures are well-structured, clear and the lecturers put the media to good use. The course as a whole, however, is very heterogeneous. Having a separate speaker for each topic is nice because you get to attend a lecture from someone who is high specialized in the topic she is lecturing about. However, if the coordination between the speaker is not well managed it leads to a lot of heterogeneity, which, again, is the case here (different speakers don't expect the same level of prior knowledge from their students, they cover some of the same material, they don't connect what they have said to what the other speakers have said...) I would add that it is irritating to follow a course where the speakers just assume that the attendees are all Americans. Wake up! There are people from all over the world on Coursera! Moreover, I don't mind following a course on Chemicals and Health in the US but it should be clearly stated in the info on the course."
19,3,"I thought the class did a good job of generally introducing the world of Construction Mgmt and I learned a lot. Using lecturers from the field made the lectures more interesting, however, it was apparent that the lecturers weren't trained in education or how to present information clearly to a class of students who are learning this material for the first time. The guest lecturers all used basic PPT presentations that weren't very engaging most of the time. I took the Construction Scheduling class simultaneously and that class was far more involved and varied in the way the information was prevented since the professor was actually an educator by trade. On top of that the homework assignment instructions differed from the rubrics we had to use to grade them, so in both cases I had to resubmit my assignment only AFTER seeing the rubric. Overall the core information was interesting, but it was presented so poorly that it made the class feel like an endless stream of trivia facts, further meaning that I might forget most of this info in the near future."
20,1,"The course is really amazing for now! Professor Seung Hae Kang explains everything in a great order. She guides me through every lesson with detailed explanation and dedication, it helps me a lot on learning Korean. This is a very good recomendation to learn Korean for beginners. Thank you for Proffesor Seung Hae Kang and Yonsei University!"
20,2,"Excellent course! I learned a lot and I hope to speak fluently and visit South Korea someday. Thank you Professor, Seung Hae Kang and Yonsei University!"
20,3,"First of all, thank you very much for this course, Yonsei University and Professor Kang Seung Hae ssi. I'm now fully able to read and write Korean language. And by practicing, I'm being able to understand and speak more Korean day by day. To be honest, I'm loving this language more and more. It also helped me learning various customs and practices of Korean people. This course was very helpful indeed. I'll definitely recommend it to any person who wants to learn Korean."
21,1,Very good course to understand the basics of Corporate Finance.
21,2,"This course helped me to understand financial markets, instruments used in the financial market. I believe that after this course my understanding of the financial market improved a lot."
21,3,"I don't have a finance background so this course has opened my eyes to the world of corporate finance.I like how well-thought-out Prof Michael is in designing the course in which all topics flow nicely from week 1 to week 4 and how each concept introduced is interdependent to create a solid financial analysis that people can use to determine the valuation of a project or an investment. However, I'd have rated this course 5 stars, had there been more quizzes, hands-on assignments or final exams that require students to use tools and concepts learned to forecast cash flows and figure out the valuation by themselves. I'm a hands-on learner and although I got 100% from this course I'm not certain I actually understood everything and that I could go out in the real world and start doing some mini financial analysis.Overall, it's a good introductory course and Prof. Michael's pace of explanation is nice. I'd recommend people who want to know the basics of corporate finance take this course only after Accounting course to understand the terms used in the course better."
22,1,Thank you Dr. Chuck! It was great!
22,2,Great course. Dr. Chuck is great teacher.
22,3,Very good course and Dr. Chuck is a great teacher
23,1,"The best online course I take it , It useful for everyone ."
23,2,This was the best online course I have ever had.
23,3,One of the best online course
24,1,I have completed this course when i get the certificate
24,2,"Has many high-quality university courses fromtop U.S. universitiessuch as Stanford, Princeton, and Yale as well as international institutions such as the University of London and HEC Paris.Course feesare not immediately shown on the Coursera course pages, unfortunately. To view the fee, you have to click on ""Enroll"" and register for the platform. This will display the individual price for the course (for paid courses).If you want to take a course without a certificate for free, you can choose the ""Audit"" option for many courses (when registering for the course).Course series of several online courses are calledSpecializations. These require payment of a fee (monthly subscription, don't forget to cancel!). However, you can often take the individual courses of the series free of charge (without a certificate).Anyone enrolling for a paid course or Specialization will get access to a7-day trial period. If you are a quick learner, you can sometimes complete a course within the trial phase (and thus possibly even receive a certificate for free!).Some (not all) of thePersonal Development / Career courseshave been criticized by users as being rather superficial. Anyone who is already working and has an academic degree may not learn much in some of these courses.A clear advantage over other course platforms is theeasy navigationwithin courses. Videos, tests, discussion forums and further reading materials are easily accessible.For some courses, a final exam with an assessment by other students is required (Peer Assessment). This often works well, but for smaller courses with fewer participants, it may take some time to get adequate feedback for your work."
24,3,It wasn't mentioned that I had to pay for the certificate.I can't afford to purchase the certificate
25,1,"Incredible professor that really knows how to communicate well her thoughts and data to people with every kind of level of education, very eloquent, well spoken and well read. Great information about how to increase your overall happiness and well-being (many of my conceptions of what would make me happy were actually proven to be false). Very grateful for these classes, it helped a lot in my day to day routine: I was able to chance some habits to healthier ones and by the end of the course I definitely felt an improvement in my well-being as a whole, using the techniques teached in the classes (such as how to use my signature strengths and how to work in jobs that require me being challenged yet also being something manageable, not causing me to be anxious or feeling incompetent). It really helps you career wise, and also in your personal life, improving your social connections and giving actual strategies to improve your happiness in a very doable way."
25,2,"Extremely glad to have found & enrolled on this course, It has been amazing learning , reinforcing & practicing various habits , specifically the rewirements. The possibilities & the things that we can do to mindfully look after our wellbeing & happiness. The practice of gratitude, kindness,savoring, social connections, sleep, meditation & discovering our signature strengths. Most importantly, measuring our happiness before & after the course, & the evaluation of the actual wellbeing have answered why this course is called the Science of Well-Being. Thank you, Coursera, Professor Santos, all the resource persons who have been valuable in the contents & make up of the course, I pledge to contimue to apply to my daily life what I have learned."
25,3,"For a long time, I have been struggling in the whirlpool of negative thoughts. It is basically a negative idea when I encounter something uncomfortable, so that I am very afraid of being leisure, I feel that life has been pushed forward, rarely feeling in control of life. Maybe I am too sensitive? I feel that I must hold the railing when I walk down the stairs, worrying that I might step on the ground and fall.Over the years, I have tried various methods to ease negative thinking, which is somewhat effective, but it is good and bad. Now I can only be at home due to COIVD-19, maybe this is God's Intervention, then I can have more time to face the depths of my soul. I just saw this course on the website after spending a few days in isolation at home. Experience of years have enabled me to understand that practice and action are far more important than knowing the theory, despite facing inertia and laziness from time to time.Looking at my own records of rewirement for around two months, Basically, all rewirements--savoring, dailygratitude journal, random acts of kindness, social connection, exercise, sleep, meditation, and gratitude letter/visit-- have continued to do now. I found that the best performing is savoring, the worst is random acts of kindness. What has formed a habit is exercise.What needs to be improved is social connection and daily gratitude.There was no clear execution plan at the beginning. It was not until two weeks ago that I saw the theory of individual development plan(IDP) which I realized that I still continued the arbitrariness of the past. Fortunately, I have a habit of recording slowly. At the same time, recording will also promote my own reflection and progress, so I stumbled on and persevered. Generally, every Monday, there is a goal to be achieved in a week and the corresponding plan. I will look at the records to detect the deficiencies in the process. This somehow makes up for my shortcomings of arbitrariness and inertia.Through the record, I realized that if the plan was completed and it was calculated by ten points, I probably reached about seven points. Fortunately, when I am at home, I have enough time. If I have been busy in the past, I’m afraid my best is half of it. Comparing the scores of the questionnaire at the beginning and the present, and the slowly-perceived changes in mood in daily life, this course brings many good effects, specially savoring pleasures at present moment, doing meditation often. I have less anxiety. To quote the following, encourage those who are interested in Well-Being to move forward together.Savor pleasures and live in the present momentMake physical activity a habitAre deeply committed to meaningful goalsAre often the first to help othersNurture and enjoy social relationshipsAre comfortable expressing gratitudePractice optimism about futureWe can take deliberate control of how we act and think through intentional activity.From: Lyubomirsky(2001); Diener et al.(1999); Myers(2000), Diener & Lucas(1999); Argyle(1999)."
26,1,"Great Introduction to Data Science and R Programming This was a great introduction to Data Science and R Programming. I learned about what data science is; how to install R, R Studio, and GitHub; how to install and use R packages; proper forum etiquette; how to create an R script, save it, stage it, commit it, and push it; how to link an existing project with GitHub; and R Markdown. I am starting to appreciate the power of R and cannot wait to dig deeper! I learned so much! One recommendation I have for the course is having more variety in the quiz questions available. I noticed that the questions from the weekly quizzes were just repeats of questions from the practice quizzes."
