T_id,Topic_ID,N,Macro_id,Coder_A_label,rep_doc_1,rep_doc_2,rep_doc_3,rep_doc_4,rep_doc_5,Coder_B_verdict
T98,85,777,2,praise for intuitive linear algebra explanations,A perfect course to start with linear algebra,great intro to linear algebra,This course gives me geometric intuition of linear algebra,,,accept
T102,219,259,2,praise for instructor Dr. Charlie,great course as a start for vba,"Programming VBA for Excel requires three skills; knowledge of the application object model, knowledge of Excel, and knowledge of programming. Even skilled programmers familiar with Excel can be overwhelmed when tying all three skills together so creating an introduction class for the novice is a challenge. This course succeeds at not over whelming the student.This course takes a balanced approached and gently guides the student into a dance with the subject matter using some very interesting techniques and examples from typical engineering problems. It covers the right amount of instruction for the VBA editor and the interaction of data and variables between the editor and Excel. It covers functions and subroutines, the scope and types of variables at a useful enough level, without getting too deep. Because the instructor is an engineer he includes several simple but powerful numerical methods and the use of both Solver and GoalSeek into the course. Since I am an engineer and enjoy numerical methods I especially like this and would enjoy a course that might be described as “Numerical Recipes in VBA” .I would recommend this course to novices seeking an introduction through to experienced users wanting a deeper understanding and foundation for future work in VBA for Excel.",It's very interesting course to learn VBA,,,reject
T88,2,7024,2,praise for introductory data science course,Good course to understand Data science and Data scientist,"I do not having any background of Data Science but after go through this course I am having a good understanding about what is data science,what skills are needed to become data scientist etc.Additionally, clear all my confusions .Now I am aware about the correct path to learn data science,also what qualities are required to become a Data Scientist i am also aware about that.A very good experience i had about data science after go through this course.All real life scenarios are discussed and real life experiences are shared by various data scientist.Excellent course with a very good content for beginners who do not anything about data science.If anyone is having a little bit knowledge about data science then after going through this course you should know what are the areas in which you can improved, a correct path to build a carrier in data science.",It provides a very good introduction on what Data Science is and what a Data Scientist do!,,,accept
T103,220,256,2,praise for matplotlib course experience,"While the data visualization tools outlined here are valuable, the final assignment for this course does a very poor job of assessing the things that were actually taught.Early on, you are assured that the course will emphasize the scripting layer of matplotlib, rather than the more complex artist layer. In the final assignment, however, you are instructed to use the artist layer, and configure many parameters that were never covered in any of the labs or videos.Likewise, utilizing geojson files for choropleth maps was covered in the most cursory manner - you are never requried to open a geojson file, or understand how it is configured. You just load it in and carry on with the assignment. However, without understanding the setup of a geojson file, no student is going to understand how to properly configure the key_on parameter when making their own choropleth map for the final assignment.The ability to actually create a graph from a set of data is perhaps the smallest part of the final assessment. Everything else is fussing with irritating details, often details that we were never taught about in class.","Course materials are more than 4 years old. That describes not only the videos but also the age of the various Python libraries that you will be working with. The charting and data visualizations discussed are the really the most basic kind that you might find more easily executed in Excel or Google Sheets. My idea of data science visualizations are not bar charts, scatters, line graphs, and box charts.The age of the course also means that there will be almost no discussion of more contemporary data viz libraries like Seaborn or Plotly or ones I may have never heard of as this course sought to cover the most basic elements of matplotlib. Nothing presented I would say rose to the current professional and academic standards of data visualization.","A good course that could be better.I think that this course provided a reasonable introduction to Matplotlib, but the lectures need to go a bit deeper and provide more examples. The course left too much of the work to the student. [For your reference, I have a PhD in Mathematics, taught for several years at a highly selective undergraduate college, and have extensive experience in industry as a Matlab and SAS user.] The homework assignments were substantial, and I enjoyed doing the final assignment which required merging two or more datasets using Pandas and then Matplotlib to plot relationships. The course website provides estimates of the number of hours required to complete the assignments, but these were gross underestimates because so much about Matplotlib was left to the student. I would have preferred a bit more lecture time, more examples, and a few side tutorials on using Jupyter and notebooks (how to download and upload), especially since we were grading the code of our fellow students.",,,reject
T93,199,282,2,praise for database beginner courses,"Prof. Mannino is brilliant in structuring this course about Database Management Essential.You really end up with a strong and structured understanding of the essential concepts of relational databases and a bit of practice.You learn about: table creation, then SQL Queries, then ERDs, then translation of ERDs into tables, and about database normalisationThe concept of Functional Dependency and Normalisation is a tiny bit short in my opinion. At the end of the course, I'm not sure I really understand BCNF Normalisation... That could be improved!THANK YOU TO PROF. MANNINO!","Database Management Essentials can be a very helpful course for students who want to learn the basics of database design, entity relationship model, and SQL. This course has sufficient theory related materials and practice problems to not only develop a good understanding but also implementation skills. Michael Mannino has been very good instructor.Since I have had some knowledge about SQL prior to this course, I expected to gain more than simple SQL related skills from this course.","The course offered me an incredible opportunity to re-learn some of the foundations related to Relational Database Management Systems, especially some of the standard SQL commands (CREATE TABLE, INSERT, UPDATE, DELETE & SELECT), guidelines for effective query formulation, Entity Relationship, and Relational Diagrams, and normalization (especially the Boyce-Codd Normal Form)...Professor Mannino did a fantastic job in explaining the course materials as well as the practice problems and assignment questions did allow me to strengthen and test my skills... The community was also really helpful and kind...",,,accept
T84,88,759,2,mixed feedback on course content focus,A great course to learn Data Analysis using Python.,"This is a very good course about the basics of data science and how python can be used to facilitate data cleaning and handling. I am a beginner with very limited knowledge of python (I had read some basics). The course takes you step by step through the use of python libraries and commands mostly used in data science. I would like to point out here that the assignments post course completion were a bit challenging for me as I am a beginner, which is good. This is because I had to research and learn a lot of stuff to complete the assignments apart from the course material. Looking forward to more such courses and assignments. Kudos to the teaching staff and Coursera team :)","I really like Prof. Brooks's way of teaching. He developed a very good introductory level course. Apart from some talks about data science in a whole, he concentrated on the preparatory work in this field -- data cleaning. Instead of delving into theories, he paid most of his attention to how to make things work by using python. I actually have a background in C, and I was a bit reluctant to learn python at first since C is already strong enough to attack most tasks. However, I have fallen in love with python now, and I think it is a much more suitable language for daily use especially when your projects aren't very large. Among its many merits, the best thing about python is of course its numerous libraries like numpy and pandas which free us from tedious low-level programming. I am quite convinced that I will move to python from now on.In addition to lectures, I truly recommend you go over extra reading materials. Those articles are very thought provoking. For example, the first one ""50 Years of Data Science"" totally changed my previous view towards this field. It made me realize that data science is not a simple combination of statistics and machine learning, that it is a distinct way of obtaining new knowledge, and that its advancement shall benefit the whole science society.About the assignments, those taught in the lecture are not enough and you should refer to python documents and stack overflow. I think knowing how to solve problems and where to find help is more important than solving problems itself, and that's why I consider those assignments well designed.Finally, thanks to all the efforts made by the teaching staff.",,,abstain
T238,194,285,3,feedback on business metrics understanding,Great introduction to business metrics.,Great introduction to the Business metrics!,Great introduction to Business Metrics!,,,accept
T227,190,292,3,positive feedback on project management course,"An excellent introduction to initiating and planning projects for which you are PM. The material was presented in a clear and precise way with frequent reference to PMBOK, allowing further study and reading. I feel like a gained a good overview for this stage of a project as a PM.","Doing this course 'Budgeting and Scheduling projects' gives learners, a practical approach to Project management based on PMBOK methodology. Prof Margaret Meloni is a great teacher. Students will enjoy her crisp and clear communication of ideas. Slides are well designed. Video quality and sound quality is also great. You will encounter lots of good quality reading materials. Quizzes will help you to test your knowledge as you progress. Overall, an excellent course fit for project managers and project team members who work for construction projects. Also good for the aspiring project managers. Thanks to Prof Margaret and UC Irvine for the great course.","If you're looking to brush up or learn some project management fundamentals and learn a little about the Project Management Body of Knowledge (PMBOK), then I recommend this course for you. If you already have some experience and confidence as a project manager, then this course may be too fundamental for you. This course covers a lot of the material from the ""initiating"" and ""planning"" stages of the PMBOK guide. There's also a good section on authority vs. influencing and managing conflict. The professor is great. I would be interested in some more involved exercises or projects though, as the exercises are more so just a reflection question accompanying each week's lesson. The class may be significantly enhanced by the optional reading, but, having not purchased those books, I can't say.",,,accept
T223,166,349,3,enthusiasm for entrepreneurship learning experience,A great introduction of entrepreneurship,This course is very helpful for entrepreneurship,"I have understood the whole business process right from conceiving an idea, Market Research, startups, Risk factors, Creating Business plans, and marketing through social media, Investment sourcing, through social media, Venture capitalists By presenting with necessary stuff like business plans, market research and business plan and financials.Not just the above business process, as well as i have improved the Business vocabulary.Even if you are an entrepreneur already, this course will help you understand more about the entrepreneurship.Thanks Coursera Team.Jeyakumar Subbiah",,,accept
T233,87,764,3,praise for financial accounting course,Professor Brian Bushee is amazing! I was completely new to financial accounting. Every single term was new to me and the way he teaches this is outstanding!,the best financial accounting course on Coursera,Thanks Professor Bushee for making Financial Accounting fun and easy to learn!,,,accept
T219,129,497,3,feedback on human resources course experience,really a great course that everyone who are aspiring to enter into the field of human resource. special thanks to john budd sir who introduced the human resources strategies,I Would like to thanks our honorable course instructor Professor John W. Budd. I have learned so many things about how to preparing manage human resources.,"This course is the perfect basis in learning how to manage Human Resources. John Budd is engaging, funny, and shares an array of valuable information. I have left this course prepared with the knowledge of various managerial styles, why they work (and when they work), HR laws and how they differ from the US to other countries, and employee motivations (both monetary and non-monetary).",,,accept
T220,139,452,3,praise for Agile software methodology learning,"The Managing an Agile Team taught lessons were key to aligning essential Agile principles, and practices to non-software development business processes at my workplace. Applying Agile principles to achieve a highly functional team in the construction industry, seemed far fetched but these Agile practices have proved to produce very effective results over the years in building highly functional teams, robust to change, hence my desire to give it a try. This course has created the clarity I needed to apply Agile principles and practices to company processes, especially in a non-software development field, to achieve efficiency and save cost at work. It has also built up a series of ideas needed to approach a non-Agile friendly environment that suffers from very low alignment with some sort of autonomy.","I am not new to Agile Development, but i had no idea what to expect about Design Thinking. Alex Cowan and this course helped me a lot not only with more than a basic understanding of what Design Thinking is and how to use it with Agile, but it also showed me how to improve my way of working with Agile itself. I am now appalled by the user stories i wrote up until this course. I strongly recommend Agile Meets Design Thinking to any Agile practitioner, Product Owner, Product Manager and Project Manager.","I was able to refresh my knowledge on Fundamentals of some software development processes and practices used in the industry today. Deep dive into Agile practices using some popular methodologies such as extreme programming (XP) and Scrum and the practices they implement.Emerging software practice called Lean software development, learnt how Kanban is used within lean to track a team's progress and ensure that everyone is following a Just-In-Time production strategy.It was a wonderful experience taking this course as part of my software product management specialization. The ideas are intriguing.",,,accept
T232,21,2144,3,praise for corporate finance course,Very good course to understand the basics of Corporate Finance.,"This course helped me to understand financial markets, instruments used in the financial market. I believe that after this course my understanding of the financial market improved a lot.","I don't have a finance background so this course has opened my eyes to the world of corporate finance.I like how well-thought-out Prof Michael is in designing the course in which all topics flow nicely from week 1 to week 4 and how each concept introduced is interdependent to create a solid financial analysis that people can use to determine the valuation of a project or an investment. However, I'd have rated this course 5 stars, had there been more quizzes, hands-on assignments or final exams that require students to use tools and concepts learned to forecast cash flows and figure out the valuation by themselves. I'm a hands-on learner and although I got 100% from this course I'm not certain I actually understood everything and that I could go out in the real world and start doing some mini financial analysis.Overall, it's a good introductory course and Prof. Michael's pace of explanation is nice. I'd recommend people who want to know the basics of corporate finance take this course only after Accounting course to understand the terms used in the course better.",,,accept
T211,41,1314,3,positive reviews on project management courses,A good Course for Project Planning and Management,Good introduction to Project Management!,Good course to learn project management,,,accept
T245,249,201,4,theory versus practice balance concerns,"Some people might say that it has lots of theory, but I find that the theory is delivered in a way as succinct and impactful as possible within the short video time. Do read the written material to understand the intricacies of the in-material jokes!",Good balance between theory and practice.,good balance of theory and practice,,,accept
T240,35,1482,4,positive feedback on clear explanations,nice explanation and easy to understand,Excellent coverage of the topics. Concepts were made clear and easy to understand.,"Very clear explanation and details are quite exhaustive, all the minute details are explained in detail in simple English. Nothing is taken for granted during the explanation of the concepts.",,,accept
T249,115,575,4,positive feedback on course experience,It was amazing experience for me. Thank you.,It was an amazing experience. Thank you!,"It was an amazing experience, thank you so much",,,accept
T250,225,248,4,praise for session quality and engagement,its great session for me and i enjoy this session alot,"good session, much informative sessions",Very interesting sessions and informative session.Thank you everyone,,,accept
T242,59,1049,4,mixed feedback on course information quality,A lot if very good information and presented very well.,"Really informative, and very easy to understand.","Informative, interesting and engaging, highly recommend.",,,abstain
T241,58,1049,4,praise for course content quality,great content and very easy to follow,"GOOD CONTENT, easy to understand",Good content and easy to follow,,,accept
T248,105,625,4,mixed feedback on course difficulty,It was difficult but worth the effort.,"Very interesting, a little challenging but worth it!",a little bit challenging but also interesting!,,,accept
T244,146,427,4,praise for course material quality,"Good material, easy to understand","Great material, easy to understand",excellent material and very good explanation,,,accept
T154,38,1370,5,praise for Dr. Keith Devlin's teaching,"This is one of the most terrible courses on Coursera. Thank God I received it for free and wasted no more than 3 days. The instructor cannot impart knowledge well. The course itself is not meant for beginners. So be careful before wasting your time and (money). The presentation is sub-par. What the instructor writes and speaks can only be understood by him. Somehow you will be able to drag through two weeks of material. But when you reach the third week, you will realize that you have wasted your precious time. The formulas are just rushed through. And the new terms are not even explained before being introduced. If you are not fond of complex calculations, kindly opt-out. Don't believe me? Check out the discussion forums, the people there have no idea either. They just type random stuff to see what others are typing. The instructor's accent (Indian) makes it worse. And trust me, this review is coming from an Indian. I don't know what's it going to take for me to convince you, but the fact that it was pretty low on ratings on classcentral.com and other things should give you a clue. Also, I wouldn't waste so much time to convince you guys. It's not worth it, even for free! To be honest, this course makes a mockery out of Darden School of Business. Check out other courses from lower-ranked colleges, you will be surprised how fun it is to learn using MOOCs. Thank you for reading such a long review but I think everybody should know what lies ahead!","It really was a different perspective to mathematics, and I enjoyed working with proofs and entering the world of mathematicians where even simple problems may have rigorous proofs. It was novel to view how these fundamental proofs have shaped the current state of mathematics today. Dr Keith Devlin was very efficient at teaching and I understood everything in the course and trusted his method even when the beginning weeks were very simple because he felt really knowledgeable and reliable. I would recommend this course to anyone who is interested in mathematics or wants to explore another side of mathematics that we wouldn't ever see in school.","I took this course as a refresher for maths rules I had seen in university, so my experience does not relate to those who will encounter this topics for the first time. I honestly do not recommend this course to beginners with no background in mathematics, because there is not much space given to theoretical explanations of the principles here. The course feels more like a quick slideshow of rules (logaritmic manipulations, exponential manipulations, conditional probability manipulation) followed by exercises to practice them. This is a stark contrast to my University Experience, where mathematics is about principles, logic and the demonstrations that underly theorems and their validity (e.g. ''why is the formula for combinations of ""m draws on a set of n"" built this way?''): deep study of these topics provides students with the mental skills to build a MODEL of whatever they come to face in real life. You may forget the rules, but those can be freshened up by a course like this. To build Logical and thinking skills instead requires a deeper understanding of mathematics and its underlying principles. I hope the professor who recorded this course will look forward to an opportunity to devise a deeper mathematics course to tackle these topics. Good luck to all fellow learners and thanks to Coursera for this opportunity!",,,reject
T159,150,404,5,praise for theory and practice integration,Excellent course. Great balance of theory and practice.,I really liked this course. It has a good balance between theory and practice.,Great course. Very good balance between theory and practice.,,,accept
T184,184,304,5,issues with course discussion forums,"I thoroughly enjoyed the course and discussion forum was very helpful to progress. However few improvements is required to have better user experience 1) The content should be upgraded to latest python 2) Since the course recommends Graphlab, there should be up to date detailed instructions to install the same ( disclaimer that this course is not about software....is not helpful to progress) 3) No response is discussion forum - there's no responses provided to the queries. I do understand many questions in discussion forum is repetitive and someone may find the answer by scrolling through long unstructured hundreds of responses, however this is not efficient.","Why is this course dangerous?I took this course because first I liked the idea to have a history lesson spanning the age of the whole universe. Maybe it is also intriguing to explain everything just with one principle: the second law of thermodynamics. BUT as it turned out they don't have any clue what this second law of thermodynamics means. They always forget the second part of it: it is just valide in a closed system. I think everbody will agree, that the earth for example isn't a closed system.In the beginning they tell you you should be critical about everything new you hear or get taught. But if you are critical and question things they teach you they will ignore you. One glance at the discussion forum shows: they are fast in answering good feedback and compliments by students, but critical questions (with scientific papers who show different facts) get ignored for weeks and months. They are cherry picking. They just see what encourages their view and their opinion and ignore everything that contradicts their course, opinion, believe and dogma. In this respect they are so dangerous. That is the same principle how cults work.Maybe their goal, stopping polluting and changing the world in such a speed seems to be a good one. But also here you have to be careful. When they talk about climate change and the overuse of ressources they are exaggerating by a factor of 50! In my opinion you are damaging an important discussion if you are lying and exaggerating in such a shameless way. For sure it is not helpful! But again, the truth doesn't fit in their world view. Furthermore they ""teach"" that cities get blown away by taifoons is caused by the ""universe balancing entropy"". This isn't just lack of understanding physics, or history, or flow mechanics, it is just insane.In summary: this is not a history course, but the ""teachings"" of a lying, exaggerating, cherry picking cult with no knowledge in particle physics, cosmology, chemistry, biology or even history.So please: if you take this course, be aware of this pitfalls and their intentions.","Very difficult. Harder than pretty much all of the courses I've taken in college, more or less, based on how much material is covered and the amount of research you have to do on top of the lectures in order to just get a passing grade on the assignments. Definitely a grad level course, probably harder than most grad level courses I've taken in college just for the amount of effort needed to get a perfect score on all assignments (unfortunately it depends on how good of a computer you have to run your solutions). The challenge just makes it even more fun. Lectures barely covers anything needed to do the assignments, which just gives you a surface level introduction to the concepts needed to solve the problems. The discussion forum is crucial to getting good guidance on how to solve the problems. Pretty much all of the assignments involved doing your own research and reading a bunch of problem-related research papers to figure out what you want to use for your own implementations. I had a blast learning, and thank you so much for offering this course on coursera.",,,accept
T167,217,264,5,praise for Professor Louis Bloomfield,"'How Things Work' is undoubtedly the best introductory physics course I have ever taken. Professor Bloomfield makes physics so much fun to study and motivates students with his empathy. As I'm a physics teacher myself, I intend to enhance my classes with this revolutionary way of teaching, by using everyday examples to maximize students learning. Thank you very much professor Lou!!! =]","This course is brilliant, because it has the potential to reach the masses of individuals that would otherwise be left out of the world of physics. I'm talking about students that think they are too busy, too slow, too old, not smart enough, etc. This is an 'at your own pace' class, which I really appreciated for learning concepts in physics. The way this course accomplishes this amazing feat is by presenting everyday physical actions like dropped balls out of three story windows, or manned wheeled carts gliding across the floor, or bumper car physics explained with air hockey games, and then explaining the laws of physics that are behind the 'actions'. Knowing the physics behind what we see everyday is so enriching, and my eyes are much wider now. This course, taught by Dr. Louis Bloomfield, is also amusing and entertaining, as Dr. Bloomfield races up and down the steps of the empty University of Virginia Physics building for the dropped ball gravity experiments, or crashes himself (standing on a wheeled cart) into the wall to illustrate energy and momentum transfer. (he has really good balance and stamina!) I really hope there is a 'How MORE Things Work' soon! My appetite is whetted.","This course was exceptional, outstanding, and unprecedented. This course truly deserves appreciation. Professor Louis Bloomfield has left me in awe of his exceptional work. His hard work, dedication, commitment towards the course and to deliver knowledge voluntarily for the benefit of students is highly commendable. I am an Engineer and have taken a number of Physics courses in school, college, and university, this one is way ahead of them. I have also done a few courses on Coursera and have found this course the best till now. It is highly recommended to anyone who genuinely wants to learn Physics and loves it. The people who have no prior knowledge of Physics can also take this course to learn its basic concepts in an amusing way. Believe me! you will not find a better Physics professor than Professor Louis Bloomfield.",,,accept
