topic_id,n_total,n_lowrated,share_lowrated,llm_label,rank_by_count,rank_by_share
98,670,54,0.08059701492537313,feedback on case study teaching methods,68,58
43,1310,53,0.04045801526717557,praise for the marketing course,69,114
112,593,52,0.08768971332209106,praise for web data and API instruction,70,53
249,201,51,0.2537313432835821,theory versus practice balance concerns,71,9
50,1197,51,0.042606516290726815,positive feedback on Chinese language learning,72,109
220,256,47,0.18359375,praise for matplotlib course experience,73,20
59,1049,46,0.0438512869399428,mixed feedback on course information quality,74,106
106,621,46,0.07407407407407407,praise for introductory marketing analytics content,75,67
87,764,46,0.060209424083769635,praise for financial accounting course,76,78
53,1163,45,0.03869303525365434,praise for beginner-friendly clinical research course,77,121
77,853,45,0.05275498241500586,positive feedback on design thinking course,78,90
54,1148,44,0.03832752613240418,praise for grammar and punctuation course,79,122
49,1213,44,0.036273701566364384,positive feedback on course enjoyment,80,128
109,606,43,0.07095709570957096,praise for quantitative modeling course,81,70
88,759,43,0.05665349143610013,mixed feedback on course content focus,82,85
30,1614,43,0.02664188351920694,appreciation for writing skill development,83,162
65,964,39,0.04045643153526971,praise for algorithms course effectiveness,84,115
48,1214,39,0.03212520593080725,art,85,142
116,571,38,0.06654991243432574,scala,86,73
55,1128,37,0.03280141843971631,positive feedback on classical music course,87,140
41,1314,37,0.02815829528158295,positive reviews on project management courses,88,156
103,629,37,0.058823529411764705,enthusiastic reviews of dog cognition course,89,81
167,346,35,0.10115606936416185,positive feedback on introductory courses,90,43
146,427,35,0.08196721311475409,praise for course material quality,91,57
46,1257,34,0.027048528241845664,positive feedback on course experience,92,160
81,819,33,0.040293040293040296,feedback on graphic design fundamentals,93,116
86,775,32,0.04129032258064516,praise for practical digital marketing insights,94,113
242,208,31,0.14903846153846154,praise for big data course content,95,24
197,283,30,0.10600706713780919,mixed reviews on HTML5 course content,96,39
22,2094,30,0.014326647564469915,praise for Dr. Chuck's courses,97,208
60,1034,30,0.029013539651837523,praise for practical legal applications,98,152
36,1390,30,0.02158273381294964,praise for Professor Bloom's psychology course,99,181
154,382,30,0.07853403141361257,praise for databases and Python integration,100,61
190,292,29,0.09931506849315068,positive feedback on project management course,101,44
76,876,29,0.033105022831050226,praise for course explanations,102,139
32,1493,29,0.01942397856664434,praise for IT Support course introduction,103,185
14,2959,28,0.009462656302805001,praise for deep learning course quality,104,220
165,352,28,0.07954545454545454,cybersecurity,105,60
64,995,28,0.02814070351758794,appreciation for Indigenous history education,106,157
189,294,28,0.09523809523809523,positive feedback on social media marketing course,107,46
110,599,28,0.04674457429048414,praise for Octave and MATLAB tools,108,102
148,423,27,0.06382978723404255,positive feedback on drug discovery course,109,77
135,472,27,0.057203389830508475,positive feedback on research methods course,110,84
29,1636,27,0.01650366748166259,enthusiasm for neural networks understanding,111,199
89,744,27,0.036290322580645164,positive feedback for beginner web development course,112,127
132,476,26,0.0546218487394958,praise for foundational economics understanding,113,88
163,355,26,0.07323943661971831,positive feedback on data visualization course,114,68
80,829,26,0.031363088057901084,praise for lecturers and teaching quality,115,146
159,361,26,0.07202216066481995,praise for diplomacy course content,116,69
209,272,26,0.09558823529411764,praise for course presenters,117,45
207,273,25,0.09157509157509157,praise for instructor Andrew Ng,118,50
107,615,24,0.03902439024390244,praise for blockchain course quality,119,120
20,2401,24,0.009995835068721367,positive experiences learning Korean language,120,219
73,911,24,0.026344676180021953,praise for negotiation course,121,164
140,451,24,0.05321507760532151,positive feedback on Unity course for beginners,122,89
40,1319,24,0.01819560272934041,praise for course learning experience,123,191
70,927,24,0.025889967637540454,praise for photography course content,124,167
99,662,24,0.03625377643504532,praise for positive psychology course,125,129
72,911,24,0.026344676180021953,praise for course usefulness,126,164
62,1005,23,0.022885572139303482,praise for comprehensive computer science course,127,175
246,204,23,0.11274509803921569,feedback on basic statistics course,128,34
90,719,23,0.031988873435326845,positive feedback on technical support fundamentals,129,143
156,378,22,0.0582010582010582,recommendations for biology teachers in bioinformatics,130,83
139,452,22,0.048672566371681415,praise for Agile software methodology learning,131,99
205,275,22,0.08,praise for Bayesian Statistics introduction,132,59
125,512,22,0.04296875,enthusiasm for feminism and social justice course,133,108
113,589,22,0.03735144312393888,praise for introductory big data course,134,125
108,610,22,0.036065573770491806,praise for business course effectiveness,135,130
225,248,21,0.0846774193548387,praise for session quality and engagement,136,54
200,280,21,0.075,praise for Jira and agile methodologies,137,63
173,327,21,0.06422018348623854,praise for Google and its courses,138,76
57,1056,20,0.01893939393939394,praise for Mike Fitzpatrick's MATLAB course,139,188
150,404,20,0.04950495049504951,praise for theory and practice integration,140,98
142,447,20,0.0447427293064877,praise for training quality and trainers,141,105
84,803,20,0.024906600249066,feedback on luxury fashion course content,142,171
127,504,19,0.037698412698412696,feedback on UX design courses,143,123
194,285,19,0.06666666666666667,feedback on business metrics understanding,144,72
117,566,19,0.03356890459363958,praise for sustainability course content,145,138
122,534,19,0.035580524344569285,praise for Dr. Peggy Mason's teaching,146,132
133,475,19,0.04,praise for introductory philosophy course,147,118
235,230,18,0.0782608695652174,praise for sustainable tourism insights,148,62
37,1385,18,0.012996389891696752,appreciation for course and instructors,149,211
51,1186,18,0.01517706576728499,praise for Covid-19 course内容,150,203
147,424,17,0.04009433962264151,praise for Python web data access skills,151,117
162,356,16,0.0449438202247191,praise for instructor Alex Cowan,152,104
176,319,16,0.050156739811912224,praise for epidemiology course content,153,97
229,242,16,0.06611570247933884,praise for machine learning content,154,74
124,515,15,0.02912621359223301,praise for supply chain logistics course,155,151
222,254,15,0.05905511811023622,praise for programming fundamentals insights,156,80
155,381,14,0.03674540682414698,praise for introductory course quality,157,126
93,705,14,0.019858156028368795,praise for professional email writing course,158,183
144,434,14,0.03225806451612903,praise for engaging history instruction,159,141
206,273,14,0.05128205128205128,praise for bootstrap course,160,92
67,950,14,0.014736842105263158,positive feedback on learning experience,161,205
180,314,13,0.041401273885350316,praise for Professor David Easdown,162,112
219,259,13,0.05019305019305019,praise for instructor Dr. Charlie,163,96
239,218,13,0.05963302752293578,praise for ancient Egypt course,164,79
182,307,13,0.04234527687296417,positive student experiences in cloud computing,165,110
172,339,12,0.035398230088495575,positive feedback on anatomy and physiology courses,166,134
178,319,12,0.03761755485893417,enthusiasm for Lean Six Sigma methodologies,167,124
196,284,12,0.04225352112676056,positive feedback on forensic accounting course,168,111
120,541,12,0.022181146025878003,insights on modern management practices,169,177
153,383,12,0.031331592689295036,praise for communication skills development,170,147
224,251,12,0.04780876494023904,praise for course introductions,171,101
128,502,12,0.02390438247011952,praise for hyperparameter tuning content,172,174
100,655,11,0.016793893129770993,praise for brain understanding techniques,173,197
181,307,11,0.035830618892508145,discussions on political policy challenges,174,131
61,1021,11,0.010773751224289911,praise for effective learning techniques,175,218
160,360,11,0.030555555555555555,nn,176,148
175,320,11,0.034375,enthusiasm for renewable energy entrepreneurship,177,135
104,626,10,0.01597444089456869,enthusiastic reviews about dinosaur course,178,200
137,462,10,0.021645021645021644,praise for digital transformation insights,179,180
199,282,10,0.03546099290780142,praise for database beginner courses,180,133
25,1979,10,0.005053057099545225,praise for happiness science course,181,233
169,344,9,0.02616279069767442,praise for private equity course content,182,166
129,497,9,0.018108651911468814,feedback on human resources course experience,183,192
166,349,9,0.025787965616045846,enthusiasm for entrepreneurship learning experience,184,168
161,358,9,0.025139664804469275,praise for IT security course,185,170
248,201,8,0.03980099502487562,positive feedback on simulation courses,186,119
75,908,8,0.00881057268722467,praise for instructor Andrew,187,221
202,279,8,0.02867383512544803,praise for course tutor,188,153
223,252,8,0.031746031746031744,praise for reinforcement learning content,189,144
188,296,8,0.02702702702702703,positive feedback on cancer biology course,190,161
186,301,8,0.026578073089700997,praise for social norms course and instructor,191,163
131,477,8,0.016771488469601678,positive feedback on learning platform,192,198
179,317,8,0.025236593059936908,praise for instructor Dr. Mortensen,193,169
243,206,7,0.03398058252427184,insights from industry experts,194,137
158,366,7,0.01912568306010929,positive feedback on energy course aspects,195,186
52,1173,7,0.005967604433077579,positive course enjoyment and appreciation,196,231
227,246,7,0.028455284552845527,praise for foundation course quality,197,154
232,235,7,0.029787234042553193,appreciation for creativity tools and techniques,198,149
230,239,7,0.029288702928870293,praise for fundamentals understanding,199,150
28,1810,7,0.0038674033149171273,praise for instructor Andrew Ng,200,237
193,285,7,0.02456140350877193,positive feedback on strategy course,201,172
102,640,7,0.0109375,reviews on data structures in Python,202,216
237,220,6,0.02727272727272727,positive feedback on program quality,203,158
168,344,6,0.01744186046511628,praise for Dr. Kristin Sainani's course,204,195
204,275,6,0.02181818181818182,praise for typography course content,205,178
226,246,6,0.024390243902439025,praise for Dan Boneh's teaching style,206,173
115,575,5,0.008695652173913044,positive feedback on course experience,207,222
233,230,5,0.021739130434782608,feedback on meta-analysis course content,208,179
171,340,5,0.014705882352941176,praise for introductory engineering mechanics course,209,206
143,436,5,0.011467889908256881,feedback on psychological crisis interventions,210,214
208,272,5,0.01838235294117647,concerns about animal welfare practices,211,190
192,289,5,0.01730103806228374,positive impact on mental health,212,196
216,266,5,0.018796992481203006,praise for CSS course effectiveness,213,189
217,264,4,0.015151515151515152,praise for Professor Louis Bloomfield,214,204
221,256,4,0.015625,praise for functional programming course,215,202
183,306,4,0.013071895424836602,strategies for overcoming procrastination,216,210
174,322,4,0.012422360248447204,praise for instructor Dr. Chuck,217,213
244,205,4,0.01951219512195122,praise for instructor Yaakov Chaikin,218,184
114,581,4,0.0068846815834767644,praise for Dr. Barbara Oakley and Dr. Sejnowski,219,227
130,480,4,0.008333333333333333,praise for Dr. Charles Severance,220,224
157,367,4,0.010899182561307902,praise for instructor Chris Impey,221,217
241,210,4,0.01904761904761905,praise for Professor Charles,222,187
134,475,4,0.008421052631578947,praise for instructor Nick Santos,223,223
164,352,4,0.011363636363636364,praise for job application preparation course,224,215
236,224,4,0.017857142857142856,praise for ecology and conservation course,225,193
121,535,3,0.005607476635514018,praise for helpful course,226,232
145,434,3,0.0069124423963133645,praise for oil and gas industry course,227,226
240,212,3,0.014150943396226415,praise for Professor Robert Shiller,228,209
245,204,3,0.014705882352941176,praise for Professor Scott Plous,229,206
231,236,3,0.012711864406779662,praise for Special Relativity course,230,212
63,1000,2,0.002,praise for course effectiveness and learning,231,243
213,268,2,0.007462686567164179,positive feedback on exercise science course,232,225
191,291,2,0.006872852233676976,praise for course quality,233,228
151,401,2,0.004987531172069825,positive feedback on course enjoyment,234,234
185,302,2,0.006622516556291391,praise for Professor Robert Shiller,235,229
177,319,2,0.006269592476489028,praise for professor Laurie Santos,236,230
141,450,1,0.0022222222222222222,praise for course informativeness,237,242
170,341,1,0.002932551319648094,praise for course structure and organization,238,240
187,297,1,0.003367003367003367,praise for Dr. Kazdin's parenting course,239,239
101,644,1,0.0015527950310559005,gratitude for course experience,240,244
201,279,1,0.0035842293906810036,praise for Professor Paul Bloom,241,238
228,245,1,0.004081632653061225,praise for beginner-friendly game development course,242,236
238,218,1,0.0045871559633027525,positive feedback on beginner courses,243,235
149,407,1,0.002457002457002457,positive recommendations for the course,244,241
211,271,0,0.0,praise for course quality,245,245
198,282,0,0.0,praise for course experience,246,245
214,268,0,0.0,positive feedback on course learning experience,247,245
215,266,0,0.0,positive feedback on course experience,248,245
247,204,0,0.0,praise for leadership course experience,249,245
210,271,0,0.0,praise for Professor Santos,250,245
